,taus,split,jackknife+,CV+,JAW
0,1.715223279408434,0.4984248917086231,0.5736494082322309,0.5551535160728743,0.5724760770983145
1,1.887652912041091,0.510737780263019,0.5739064121967298,0.5529087505386042,0.5777062694705873
2,2.060082544673748,0.5090371480069197,0.5782108358017283,0.5595481576198407,0.5803637371134056
3,2.2325121773064045,0.5053349884224879,0.5825983740565818,0.5622747945997428,0.5825440789864186
4,2.404941809939061,0.5085503546174551,0.5885179352689319,0.5741421782248158,0.5853902825038702
5,2.5773714425717182,0.5069813222345873,0.585228703421721,0.5732797833119405,0.5840898044658663
6,2.749801075204375,0.5144617606586341,0.5828427325321496,0.5702213225801329,0.588292105596313
7,2.9222307078370315,0.5145895408354868,0.5828020617767253,0.5733463606751713,0.5897365384929116
8,3.094660340469688,0.5182125093167271,0.579528287530177,0.5682306465516891,0.5804977057285999
9,3.2670899731023453,0.5195708849882382,0.5830211378898436,0.5686125460596667,0.583868320775349
10,3.439519605735002,0.5160109464602873,0.5803069550785631,0.5661815409745055,0.5822856677105454
11,3.611949238367659,0.5157794799372022,0.5731091203356474,0.556832868021418,0.5720172282322529
12,3.7843788710003157,0.5254356630743315,0.5736937167777965,0.5531875591718513,0.5748090427711469
13,3.9568085036329723,0.5286613240397982,0.5716811321504409,0.5501527702972507,0.5764875133518399
14,4.129238136265629,0.5258910332147465,0.571594246312997,0.5533059280423961,0.5739571573290942
15,4.301667768898286,0.5293163910707464,0.5728904785335674,0.5620857643068692,0.5753207614736705
16,4.474097401530942,0.5325170843043857,0.5730122695007029,0.5585461864633178,0.5701408930291838
17,4.646527034163599,0.5326427016489597,0.5716747409614051,0.5559326251230006,0.5731107264514231
18,4.8189566667962564,0.5306493850345304,0.5636456619206947,0.5447837957207796,0.5599347384587395
19,4.991386299428913,0.5370924241331434,0.5659594907876516,0.5480747962996327,0.5622235261772931
