,taus,split,jackknife+,CV+,JAW
0,0.06370682582547327,0.501148118830167,0.5319265028849941,0.5190380202598216,0.5265650028385044
1,0.0708569287706785,0.4960174804825759,0.5381046897989371,0.5365664267270356,0.5319374072342723
2,0.07800703171588375,0.5088700726168572,0.5422969334017487,0.5456810771659442,0.5412118754667598
3,0.08515713466108898,0.52044246976301,0.5504307231455577,0.5565787806818601,0.5463163890686652
4,0.09230723760629422,0.5174147807418273,0.5533619572108586,0.5673615826062217,0.5504667589326909
5,0.09945734055149946,0.5302256599359998,0.5590570491181137,0.5791686244879499,0.5644894523928605
6,0.1066074434967047,0.5233538275016771,0.5661033971031224,0.5845840179905839,0.564053423067648
7,0.11375754644190994,0.5262814167848309,0.5649957185268145,0.5793129248932547,0.5646032939859578
8,0.12090764938711518,0.5330328550020025,0.5753242490060958,0.588556799627596,0.575442320921375
9,0.12805775233232042,0.538750228387611,0.5810672112291745,0.5923713428508711,0.5785516954653184
10,0.13520785527752566,0.5412448760315874,0.5861619242303473,0.6009623829227134,0.5847096104094165
11,0.1423579582227309,0.5424235469171398,0.5952916815857862,0.6066382050156292,0.5909391734818041
12,0.14950806116793613,0.5494262853176949,0.604682854565819,0.618536435163361,0.5968665419232398
13,0.15665816411314137,0.5466009879841914,0.6095894440770975,0.6202323820060391,0.60165285713058
14,0.1638082670583466,0.5495105552514756,0.6080491443555867,0.6266553290222476,0.6034653584027556
15,0.17095837000355185,0.5549728992093684,0.6149435594443096,0.6301184886145643,0.6124137530515963
16,0.1781084729487571,0.550176754282659,0.6146233041821588,0.6266132314870736,0.6133688675082453
17,0.18525857589396233,0.555143133577759,0.6146795248234111,0.6288074013261374,0.6092027138128485
18,0.19240867883916757,0.5552747616887087,0.6132315405395227,0.6272321380519945,0.6097984421505096
19,0.1995587817843728,0.5578232004425954,0.6180687980683753,0.6289095363949723,0.6126646053552135
