itrial,dataset,method,coverage,width,L2_lambda
6,wave,IF2-jackknife-mm,0.8775,0.13693469085524912,4.0
6,wave,IF2-jackknife+,0.86625,0.12101102369320627,4.0
6,wave,IF2-JAWA,0.86375,0.12101102369320627,4.0
6,wave,IF2-JAWAmm,0.87125,0.12062781681695167,4.0
6,wave,IF3-jackknife,0.87125,0.12166619334192363,4.0
6,wave,IF3-jackknife-mm,0.8775,0.13834189767226307,4.0
6,wave,IF3-jackknife+,0.86625,0.12166619334192363,4.0
6,wave,IF3-JAWA,0.86625,0.12166619334192363,4.0
6,wave,IF3-JAWAmm,0.87125,0.12189784617631211,4.0
7,wave,IF1-jackknife,0.92875,0.10323668351309978,4.0
7,wave,IF1-jackknife-mm,0.945,0.11822764435536881,4.0
7,wave,IF1-jackknife+,0.925,0.10268800218273788,4.0
7,wave,IF1-JAWA,0.97,0.1755354006812222,4.0
7,wave,IF1-JAWA,0.97,0.1755354006812222,4.0
7,wave,IF2-jackknife,0.9375,0.10826549583509326,4.0
7,wave,IF2-jackknife-mm,0.95875,0.12691958524581287,4.0
7,wave,IF2-jackknife+,0.93,0.10693070315425676,4.0
7,wave,IF2-JAWA,0.9725,0.1834416060676326,4.0
7,wave,IF2-JAWAmm,0.965,0.1501550529446744,4.0
7,wave,IF3-jackknife,0.945,0.10940302887288178,4.0
7,wave,IF3-jackknife-mm,0.95875,0.12908169974200567,4.0
7,wave,IF3-jackknife+,0.9375,0.10797981308164917,4.0
7,wave,IF3-JAWA,0.9725,0.18598588356129456,4.0
7,wave,IF3-JAWAmm,0.96625,0.15288506053169226,4.0
8,wave,IF1-jackknife,0.92125,0.09395415721301958,4.0
8,wave,IF1-jackknife-mm,0.9275,0.10757898085727319,4.0
8,wave,IF1-jackknife+,0.91875,0.09257784802205996,4.0
8,wave,IF1-JAWA,0.94,0.14065963596605668,4.0
8,wave,IF1-JAWA,0.94,0.14065963596605668,4.0
8,wave,IF2-jackknife,0.925,0.09980473153825775,4.0
8,wave,IF2-jackknife-mm,0.93375,0.11641059718856206,4.0
8,wave,IF2-jackknife+,0.92125,0.09856747815440214,4.0
8,wave,IF2-JAWA,0.94375,0.14589118237875298,4.0
8,wave,IF2-JAWAmm,0.95625,0.161175507724572,4.0
8,wave,IF3-jackknife,0.9275,0.10147393754347167,4.0
8,wave,IF3-jackknife-mm,0.93375,0.11878245684679656,4.0
8,wave,IF3-jackknife+,0.9225,0.10039900415101655,4.0
8,wave,IF3-JAWA,0.945,0.14718654190587227,4.0
8,wave,IF3-JAWAmm,0.95625,0.1630600098038808,4.0
9,wave,IF1-jackknife,0.85875,0.08457309408069724,4.0
9,wave,IF1-jackknife-mm,0.885,0.10097988584448729,4.0
9,wave,IF1-jackknife+,0.85875,0.08457309408069758,4.0
9,wave,IF1-JAWA,0.985,0.3191038775572306,4.0
9,wave,IF1-JAWA,0.985,0.3191038775572306,4.0
9,wave,IF2-jackknife,0.865,0.0892420631684736,4.0
9,wave,IF2-jackknife-mm,0.89,0.10935696014292431,4.0
9,wave,IF2-jackknife+,0.86625,0.08947060425419993,4.0
9,wave,IF2-JAWA,0.98625,0.32842219776492776,4.0
9,wave,IF2-JAWAmm,0.965,0.31034275309171555,4.0
9,wave,IF3-jackknife,0.87,0.09010401687639247,4.0
9,wave,IF3-jackknife-mm,0.89,0.11140157855754118,4.0
9,wave,IF3-jackknife+,0.86625,0.09085782954085184,4.0
9,wave,IF3-JAWA,0.98625,0.33100041951920833,4.0
9,wave,IF3-JAWAmm,0.965,0.31489658882984484,4.0
