itrial,dataset,muh_fun,method,coverage,width
0,airfoil,random_forest,naive,0.2995391705069124,5.049300000000045
0,airfoil,random_forest,jackknife,0.6989247311827957,12.086900000000071
0,airfoil,random_forest,jackknife+,0.7649769585253456,12.672850000000068
0,airfoil,random_forest,jackknife-mm,0.9001536098310292,18.9961500000001
0,airfoil,random_forest,CV+,0.7603686635944701,12.44954999999996
0,airfoil,random_forest,split,0.7619047619047619,14.177099999999939
0,airfoil,random_forest,JAW,0.946236559139785,inf
1,airfoil,random_forest,naive,0.4807987711213518,4.69500000000005
1,airfoil,random_forest,jackknife,0.858678955453149,12.088099999999969
1,airfoil,random_forest,jackknife+,0.8617511520737328,12.371649999999988
1,airfoil,random_forest,jackknife-mm,0.9938556067588326,19.475749999999962
1,airfoil,random_forest,CV+,0.9600614439324117,13.850299999999976
1,airfoil,random_forest,split,0.8279569892473119,14.74199999999999
1,airfoil,random_forest,JAW,0.989247311827957,inf
2,airfoil,random_forest,naive,0.49923195084485406,5.02069999999992
2,airfoil,random_forest,jackknife,0.8310291858678955,11.414699999999954
2,airfoil,random_forest,jackknife+,0.8525345622119815,11.90740000000001
2,airfoil,random_forest,jackknife-mm,0.989247311827957,17.583949999999945
2,airfoil,random_forest,CV+,0.858678955453149,11.945349999999934
2,airfoil,random_forest,split,0.5990783410138248,11.929000000000059
2,airfoil,random_forest,JAW,0.946236559139785,inf
3,airfoil,random_forest,naive,0.43317972350230416,5.0948999999999955
3,airfoil,random_forest,jackknife,0.9139784946236559,12.113899999999944
3,airfoil,random_forest,jackknife+,0.9370199692780338,12.773499999999999
3,airfoil,random_forest,jackknife-mm,0.989247311827957,19.307449999999946
3,airfoil,random_forest,CV+,0.9385560675883257,12.747600000000006
3,airfoil,random_forest,split,0.8279569892473119,12.625700000000052
3,airfoil,random_forest,JAW,0.9923195084485407,inf
4,airfoil,random_forest,naive,0.31336405529953915,3.791799999999995
4,airfoil,random_forest,jackknife,0.7142857142857143,10.45070000000004
4,airfoil,random_forest,jackknife+,0.7296466973886329,11.33525000000003
4,airfoil,random_forest,jackknife-mm,0.8125960061443932,17.39155000000008
4,airfoil,random_forest,CV+,0.7373271889400922,11.396749999999983
4,airfoil,random_forest,split,0.7250384024577573,11.855699999999985
4,airfoil,random_forest,JAW,0.9308755760368663,19.578325000000007
5,airfoil,random_forest,naive,0.5591397849462365,5.207099999999997
5,airfoil,random_forest,jackknife,0.8771121351766513,12.296899999999965
5,airfoil,random_forest,jackknife+,0.9585253456221198,12.984850000000037
5,airfoil,random_forest,jackknife-mm,0.9831029185867896,19.04419999999999
5,airfoil,random_forest,CV+,0.9431643625192012,13.007200000000012
5,airfoil,random_forest,split,0.9508448540706606,16.73490000000001
5,airfoil,random_forest,JAW,0.9477726574500768,15.951549999999983
6,airfoil,random_forest,naive,0.27035330261136714,4.235299999999995
6,airfoil,random_forest,jackknife,0.7956989247311828,11.197299999999984
6,airfoil,random_forest,jackknife+,0.815668202764977,11.97499999999998
6,airfoil,random_forest,jackknife-mm,0.9615975422427036,18.379649999999998
6,airfoil,random_forest,CV+,0.7634408602150538,12.178349999999995
6,airfoil,random_forest,split,0.6881720430107527,12.052749999999946
6,airfoil,random_forest,JAW,1.0,inf
7,airfoil,random_forest,naive,0.4393241167434716,5.13170000000008
7,airfoil,random_forest,jackknife,0.82642089093702,13.390799999999956
7,airfoil,random_forest,jackknife+,0.8924731182795699,14.22214999999997
7,airfoil,random_forest,jackknife-mm,1.0,23.06959999999998
7,airfoil,random_forest,CV+,0.8556067588325653,13.338299999999961
7,airfoil,random_forest,split,0.7311827956989247,15.586399999999998
7,airfoil,random_forest,JAW,1.0,inf
8,airfoil,random_forest,naive,0.32872503840245776,4.538600000000088
8,airfoil,random_forest,jackknife,0.9185867895545314,13.090400000000045
8,airfoil,random_forest,jackknife+,0.880184331797235,13.44855000000004
8,airfoil,random_forest,jackknife-mm,0.9923195084485407,20.504950000000093
8,airfoil,random_forest,CV+,0.8556067588325653,12.928350000000094
8,airfoil,random_forest,split,0.9554531490015361,14.199100000000016
8,airfoil,random_forest,JAW,0.9923195084485407,inf
9,airfoil,random_forest,naive,0.34715821812596004,4.339199999999948
9,airfoil,random_forest,jackknife,0.9185867895545314,11.674099999999981
9,airfoil,random_forest,jackknife+,0.9477726574500768,12.26054999999998
9,airfoil,random_forest,jackknife-mm,0.9938556067588326,18.44810000000001
9,airfoil,random_forest,CV+,0.880184331797235,13.083400000000054
9,airfoil,random_forest,split,0.8356374807987711,11.823900000000037
9,airfoil,random_forest,JAW,0.9923195084485407,inf
10,airfoil,random_forest,naive,0.47465437788018433,5.186699999999973
10,airfoil,random_forest,jackknife,0.8540706605222734,12.472600000000028
