itrial,dataset,muh_fun,method,coverage,width
0,wine,neural_net,naive,0.6366237482117311,1.6751649793609307
0,wine,neural_net,jackknife,0.7725321888412017,2.2130158766854695
0,wine,neural_net,jackknife+,0.8311874105865522,2.491566110698362
0,wine,neural_net,jackknife-mm,0.9828326180257511,3.7295742242512695
0,wine,neural_net,CV+,0.8655221745350501,2.6378950874848845
0,wine,neural_net,split,0.8640915593705293,3.3944531259949855
0,wine,neural_net,JAW_oracle,0.9613733905579399,3.340015290394301
0,wine,neural_net,JAW_lr,0.9570815450643777,3.0406880961128406
0,wine,neural_net,JAW_rf,0.9370529327610873,2.8100476255664972
0,wine,neural_net,JAWmm_oracle,0.994277539341917,4.455341506200217
0,wine,neural_net,JAWmm_lr,0.994277539341917,4.455341506200217
0,wine,neural_net,JAWmm_rf,0.9914163090128756,4.094243748897114
1,wine,neural_net,naive,0.6080114449213162,1.5344371937845924
1,wine,neural_net,jackknife,0.8340486409155937,2.2199935550803804
1,wine,neural_net,jackknife+,0.8984263233190272,2.3741128709550976
1,wine,neural_net,jackknife-mm,0.9785407725321889,3.453246776054696
1,wine,neural_net,CV+,0.9213161659513591,2.640844882792649
1,wine,neural_net,split,0.927038626609442,2.826271563966492
1,wine,neural_net,JAW_oracle,0.9628040057224606,2.829908388899237
1,wine,neural_net,JAW_lr,0.9670958512160229,2.9952852524491043
1,wine,neural_net,JAW_rf,0.9613733905579399,2.6939298553940807
1,wine,neural_net,JAWmm_oracle,0.9871244635193133,3.8157039550630447
1,wine,neural_net,JAWmm_lr,0.994277539341917,4.117435250238836
1,wine,neural_net,JAWmm_rf,0.9814020028612304,3.6146944321873296
2,wine,neural_net,naive,0.5536480686695279,1.3481596310209376
2,wine,neural_net,jackknife,0.8054363376251789,2.5117891282093936
2,wine,neural_net,jackknife+,0.821173104434907,2.557667011802141
2,wine,neural_net,jackknife-mm,0.9642346208869814,3.9728189934343057
2,wine,neural_net,CV+,0.8454935622317596,2.4225285842857085
2,wine,neural_net,split,0.8082975679542204,3.0036529312806532
2,wine,neural_net,JAW_oracle,0.8555078683834049,2.8976601736612766
2,wine,neural_net,JAW_lr,0.8755364806866953,2.909203792018146
2,wine,neural_net,JAW_rf,0.8569384835479256,2.8221958905595095
2,wine,neural_net,JAWmm_oracle,0.9785407725321889,4.337510782021771
2,wine,neural_net,JAWmm_lr,0.9785407725321889,4.337510782021771
2,wine,neural_net,JAWmm_rf,0.9785407725321889,4.24855525665625
3,wine,neural_net,naive,0.6967095851216023,1.6400439094005161
3,wine,neural_net,jackknife,0.7868383404864091,2.0218093419606635
3,wine,neural_net,jackknife+,0.8626609442060086,2.2833768239138417
3,wine,neural_net,jackknife-mm,0.9885550786838341,3.5586171331045033
3,wine,neural_net,CV+,0.8812589413447782,2.363521687500487
3,wine,neural_net,split,0.8984263233190272,3.7546614635580244
3,wine,neural_net,JAW_oracle,0.9284692417739628,2.9837259225159656
3,wine,neural_net,JAW_lr,0.927038626609442,2.9646332021162696
3,wine,neural_net,JAW_rf,0.9256080114449213,2.8910053861240446
3,wine,neural_net,JAWmm_oracle,0.9928469241773963,3.9595040332367297
3,wine,neural_net,JAWmm_lr,0.9928469241773963,3.933939154024273
3,wine,neural_net,JAWmm_rf,0.9928469241773963,3.914947174171873
4,wine,neural_net,naive,0.6394849785407726,1.5739689706256197
4,wine,neural_net,jackknife,0.871244635193133,2.6792875496260944
4,wine,neural_net,jackknife+,0.9170243204577968,2.785017724156112
4,wine,neural_net,jackknife-mm,0.9871244635193133,4.230054455610161
4,wine,neural_net,CV+,0.944206008583691,2.96038269522319
4,wine,neural_net,split,0.8869814020028612,3.974049592068637
4,wine,neural_net,JAW_oracle,0.9814020028612304,4.018482705507465
4,wine,neural_net,JAW_lr,0.9699570815450643,3.845196372970504
4,wine,neural_net,JAW_rf,0.9599427753934192,3.5749463110376247
4,wine,neural_net,JAWmm_oracle,1.0,5.430777626302508
4,wine,neural_net,JAWmm_lr,0.9971387696709585,4.9828938414175035
4,wine,neural_net,JAWmm_rf,0.9971387696709585,4.90625031824904
5,wine,neural_net,naive,0.6881258941344778,1.5974301814577423
5,wine,neural_net,jackknife,0.8469241773962805,2.1293215850515512
5,wine,neural_net,jackknife+,0.8612303290414879,2.1871989038135853
5,wine,neural_net,jackknife-mm,0.9756795422031473,3.163738077899528
5,wine,neural_net,CV+,0.8741058655221745,2.174620676914314
5,wine,neural_net,split,0.804005722460658,3.2460079816425296
5,wine,neural_net,JAW_oracle,0.882689556509299,2.1918931207058385
5,wine,neural_net,JAW_lr,0.8841201716738197,2.215218640291389
5,wine,neural_net,JAW_rf,0.8841201716738197,2.234349040063452
5,wine,neural_net,JAWmm_oracle,0.9670958512160229,3.090591365224002
5,wine,neural_net,JAWmm_lr,0.9670958512160229,3.090591365224002
5,wine,neural_net,JAWmm_rf,0.9670958512160229,3.0970716415188706
6,wine,neural_net,naive,0.7138769670958512,1.6658700784028095
6,wine,neural_net,jackknife,0.821173104434907,2.3891721680999822
6,wine,neural_net,jackknife+,0.8855507868383404,2.5739421113364225
6,wine,neural_net,jackknife-mm,0.9814020028612304,3.7104234914424845
6,wine,neural_net,CV+,0.871244635193133,2.6640499250566325
6,wine,neural_net,split,0.8297567954220315,2.688598808700748
6,wine,neural_net,JAW_oracle,0.9914163090128756,inf
6,wine,neural_net,JAW_lr,0.9914163090128756,inf
6,wine,neural_net,JAW_rf,0.9728183118741058,3.149666500779201
6,wine,neural_net,JAWmm_oracle,1.0,5.66142898973647
6,wine,neural_net,JAWmm_lr,1.0,5.66142898973647
6,wine,neural_net,JAWmm_rf,0.9885550786838341,4.204841539471906
7,wine,neural_net,naive,0.65379113018598,1.5374064308228608
7,wine,neural_net,jackknife,0.8283261802575107,2.1251267997669974
7,wine,neural_net,jackknife+,0.821173104434907,2.1744373137364157
7,wine,neural_net,jackknife-mm,0.9556509298998569,3.2361866909475046
7,wine,neural_net,CV+,0.8283261802575107,2.150471952944617
7,wine,neural_net,split,0.7997138769670958,2.4116260062373236
7,wine,neural_net,JAW_oracle,0.8183118741058655,1.9671407946196613
7,wine,neural_net,JAW_lr,0.8082975679542204,2.0043087010188305
7,wine,neural_net,JAW_rf,0.8583690987124464,2.073799478012983
7,wine,neural_net,JAWmm_oracle,0.949928469241774,3.00161119050913
7,wine,neural_net,JAWmm_lr,0.949928469241774,3.00161119050913
7,wine,neural_net,JAWmm_rf,0.9513590844062947,3.0096072274876873
8,wine,neural_net,naive,0.7367668097281831,1.8377945138652123
8,wine,neural_net,jackknife,0.894134477825465,2.762509050355119
8,wine,neural_net,jackknife+,0.9384835479256081,2.8233485252312764
8,wine,neural_net,jackknife-mm,0.9957081545064378,4.3798181995126635
8,wine,neural_net,CV+,0.9427753934191703,2.87057908869686
8,wine,neural_net,split,0.8555078683834049,3.359410712849485
8,wine,neural_net,JAW_oracle,0.9742489270386266,3.622729521091782
8,wine,neural_net,JAW_lr,0.9742489270386266,3.5431297223347205
8,wine,neural_net,JAW_rf,0.9742489270386266,3.5157660404282316
8,wine,neural_net,JAWmm_oracle,0.9957081545064378,4.972906591739903
8,wine,neural_net,JAWmm_lr,0.9957081545064378,4.972906591739903
8,wine,neural_net,JAWmm_rf,0.9957081545064378,4.920356666576397
9,wine,neural_net,naive,0.6595135908440629,1.5110364100937268
9,wine,neural_net,jackknife,0.8125894134477826,2.4082609785540185
9,wine,neural_net,jackknife+,0.8898426323319027,2.502937476155699
9,wine,neural_net,jackknife-mm,0.9799713876967096,3.8053025252673196
9,wine,neural_net,CV+,0.8955650929899857,2.641804146655214
9,wine,neural_net,split,0.8483547925608012,3.0721165695256687
9,wine,neural_net,JAW_oracle,0.9399141630901288,3.0919041606821587
9,wine,neural_net,JAW_lr,0.9341917024320457,2.943212206302185
9,wine,neural_net,JAW_rf,0.932761087267525,2.820188795202583
9,wine,neural_net,JAWmm_oracle,0.9828326180257511,4.162261133553127
9,wine,neural_net,JAWmm_lr,0.9799713876967096,3.9530601295078904
9,wine,neural_net,JAWmm_rf,0.9799713876967096,3.8902624280244167
10,wine,neural_net,naive,0.6895565092989986,1.6972183488923616
10,wine,neural_net,jackknife,0.8397711015736766,2.602982296800649
10,wine,neural_net,jackknife+,0.8884120171673819,2.708001487849984
10,wine,neural_net,jackknife-mm,0.9885550786838341,3.991585083181615
10,wine,neural_net,CV+,0.8855507868383404,2.7178898050375357
10,wine,neural_net,split,0.9413447782546495,3.1481948531049664
10,wine,neural_net,JAW_oracle,0.9227467811158798,2.9914939416389235
10,wine,neural_net,JAW_lr,0.9227467811158798,2.9778530688443343
10,wine,neural_net,JAW_rf,0.9227467811158798,2.9542114896338116
10,wine,neural_net,JAWmm_oracle,0.9957081545064378,4.342814276014778
