itrial,dataset,muh_fun,method,coverage,width
0,airfoil,random_forest,naive,0.250384024577573,4.71339999999995
0,airfoil,random_forest,jackknife,0.728110599078341,11.71759999999992
0,airfoil,random_forest,jackknife+,0.7511520737327189,12.397700000000029
0,airfoil,random_forest,jackknife-mm,0.9185867895545314,18.3008999999999
0,airfoil,random_forest,CV+,0.7665130568356375,12.278599999999969
0,airfoil,random_forest,split,0.5821812596006144,12.31940000000003
0,airfoil,random_forest,JAW,0.9508448540706606,inf
1,airfoil,random_forest,naive,0.5698924731182796,5.551699999999926
1,airfoil,random_forest,jackknife,0.794162826420891,12.56529999999998
1,airfoil,random_forest,jackknife+,0.8709677419354839,12.651624999999996
1,airfoil,random_forest,jackknife-mm,0.989247311827957,20.295349999999985
1,airfoil,random_forest,CV+,0.9354838709677419,13.961825000000019
1,airfoil,random_forest,split,0.8141321044546851,14.454300000000018
1,airfoil,random_forest,JAW,0.9831029185867896,23.061949999999968
2,airfoil,random_forest,naive,0.46390168970814133,4.525600000000054
2,airfoil,random_forest,jackknife,0.8663594470046083,11.693800000000067
2,airfoil,random_forest,jackknife+,0.8878648233486943,12.004849999999976
2,airfoil,random_forest,jackknife-mm,0.9861751152073732,17.752775
2,airfoil,random_forest,CV+,0.880184331797235,12.765975000000012
2,airfoil,random_forest,split,0.9493087557603687,14.388699999999972
2,airfoil,random_forest,JAW,0.9631336405529954,16.760599999999968
3,airfoil,random_forest,naive,0.5407066052227343,5.232800000000054
3,airfoil,random_forest,jackknife,0.901689708141321,12.119299999999953
3,airfoil,random_forest,jackknife+,0.9201228878648233,12.381749999999982
3,airfoil,random_forest,jackknife-mm,0.978494623655914,19.092349999999954
3,airfoil,random_forest,CV+,0.9339477726574501,13.571700000000035
3,airfoil,random_forest,split,0.8525345622119815,12.136799999999937
3,airfoil,random_forest,JAW,0.978494623655914,inf
4,airfoil,random_forest,naive,0.30568356374807987,4.1264000000000465
4,airfoil,random_forest,jackknife,0.7004608294930875,10.149599999999992
4,airfoil,random_forest,jackknife+,0.7419354838709677,11.051999999999992
4,airfoil,random_forest,jackknife-mm,0.8402457757296466,16.634875000000008
4,airfoil,random_forest,CV+,0.7434715821812596,11.103250000000031
4,airfoil,random_forest,split,0.7081413210445469,13.720899999999972
4,airfoil,random_forest,JAW,0.9431643625192012,17.53725
5,airfoil,random_forest,naive,0.5053763440860215,5.065800000000053
5,airfoil,random_forest,jackknife,0.8940092165898618,12.225400000000036
5,airfoil,random_forest,jackknife+,0.9385560675883257,13.172650000000019
5,airfoil,random_forest,jackknife-mm,0.9738863287250384,18.498000000000076
5,airfoil,random_forest,CV+,0.9554531490015361,13.806049999999928
5,airfoil,random_forest,split,0.8033794162826421,14.514999999999986
5,airfoil,random_forest,JAW,0.9692780337941628,17.994900000000072
6,airfoil,random_forest,naive,0.20430107526881722,4.503000000000043
6,airfoil,random_forest,jackknife,0.7434715821812596,10.833700000000022
6,airfoil,random_forest,jackknife+,0.8064516129032258,11.793075000000002
6,airfoil,random_forest,jackknife-mm,0.9385560675883257,17.920299999999983
6,airfoil,random_forest,CV+,0.8095238095238095,12.807299999999941
6,airfoil,random_forest,split,0.7880184331797235,11.710800000000035
6,airfoil,random_forest,JAW,0.9907834101382489,inf
7,airfoil,random_forest,naive,0.23963133640552994,4.474199999999996
7,airfoil,random_forest,jackknife,0.7772657450076805,12.497699999999924
7,airfoil,random_forest,jackknife+,0.8863287250384024,13.754949999999994
7,airfoil,random_forest,jackknife-mm,0.9969278033794163,22.078899999999933
7,airfoil,random_forest,CV+,0.8786482334869432,14.069950000000006
7,airfoil,random_forest,split,0.9231950844854071,16.24109999999996
7,airfoil,random_forest,JAW,0.9969278033794163,inf
8,airfoil,random_forest,naive,0.31797235023041476,4.70139999999995
8,airfoil,random_forest,jackknife,0.8494623655913979,12.798900000000003
8,airfoil,random_forest,jackknife+,0.890937019969278,13.185850000000016
8,airfoil,random_forest,jackknife-mm,0.9938556067588326,19.98300000000002
8,airfoil,random_forest,CV+,0.8678955453149002,13.369025000000022
8,airfoil,random_forest,split,0.9370199692780338,14.735700000000008
8,airfoil,random_forest,JAW,0.9615975422427036,23.66845000000002
9,airfoil,random_forest,naive,0.39938556067588327,4.769900000000007
9,airfoil,random_forest,jackknife,0.8755760368663594,10.79540000000003
9,airfoil,random_forest,jackknife+,0.9324116743471582,11.54479999999991
9,airfoil,random_forest,jackknife-mm,0.9907834101382489,17.18287500000004
9,airfoil,random_forest,CV+,0.9139784946236559,12.114850000000033
9,airfoil,random_forest,split,0.738863287250384,12.211499999999944
9,airfoil,random_forest,JAW,0.9938556067588326,inf
10,airfoil,random_forest,naive,0.434715821812596,5.910499999999985
10,airfoil,random_forest,jackknife,0.8387096774193549,11.7363
10,airfoil,random_forest,jackknife+,0.9339477726574501,12.676650000000024
10,airfoil,random_forest,jackknife-mm,0.9846390168970814,19.81965000000004
10,airfoil,random_forest,CV+,0.9216589861751152,12.598650000000049
10,airfoil,random_forest,split,0.7803379416282642,16.297949999999986
10,airfoil,random_forest,JAW,0.989247311827957,28.267449999999997
11,airfoil,random_forest,naive,0.3271889400921659,5.008299999999991
